date,trend
2011-01-01,
2011-02-01,
2011-03-01,
2011-04-01,
2011-05-01,
2011-06-01,
2011-07-01,0.527083684543601
2011-08-01,0.4985964880633933
2011-09-01,0.4789062649269515
2011-10-01,0.4591494504347423
2011-11-01,0.42099695818401095
2011-12-01,0.3968449193832886
2012-01-01,0.38230128325139445
2012-02-01,0.36987685758114436
2012-03-01,0.34810700767812386
2012-04-01,0.29854504364735884
2012-05-01,0.2598463028741037
2012-06-01,0.23123431878027417
2012-07-01,0.21004887915883802
2012-08-01,0.19174096206503882
2012-09-01,0.15420227847478699
2012-10-01,0.1208647001603875
2012-11-01,0.11408465895313982
2012-12-01,0.10375599832787122
2013-01-01,0.09141637051079834
2013-02-01,0.08727519746949794
2013-03-01,0.07633171666334022
2013-04-01,0.07317931262194458
2013-05-01,0.07211843873390932
2013-06-01,0.0708769154309404
2013-07-01,0.0693944287155827
2013-08-01,0.07746109309894471
2013-09-01,0.09341554442237944
2013-10-01,0.09913490202259703
2013-11-01,0.09949760843793361
2013-12-01,0.10870030419878328
2014-01-01,0.12063641631961895
2014-02-01,0.11643036265509259
2014-03-01,0.11395504573025078
2014-04-01,0.1217334333618979
2014-05-01,0.12086741502070716
2014-06-01,0.11866476864048356
2014-07-01,0.12816889737014517
2014-08-01,0.12803810065035806
2014-09-01,0.12927747342416426
2014-10-01,0.14190480462922395
2014-11-01,0.14419694240601189
2014-12-01,0.1379870145812537
2015-01-01,0.12563400174689754
2015-02-01,0.13039341809829824
2015-03-01,0.15141369294203333
2015-04-01,0.16317041938135396
2015-05-01,0.17644483749599318
2015-06-01,0.17985857329534868
2015-07-01,0.17162078279139514
2015-08-01,0.1793851958365614
2015-09-01,0.18360340922996846
2015-10-01,0.18542472299081114
2015-11-01,0.19413322993088813
2015-12-01,0.19897475757247857
2016-01-01,0.2060506155159008
2016-02-01,0.20183630257341179
2016-03-01,0.19332177132420578
2016-04-01,0.19278906986005018
2016-05-01,0.19722335458348567
2016-06-01,0.21891904327875414
2016-07-01,0.23235051983272823
2016-08-01,0.22347983673855953
2016-09-01,0.2238549988794354
2016-10-01,0.217945180576681
2016-11-01,0.21155968707432038
2016-12-01,0.2206244457605623
2017-01-01,0.23035950786135473
2017-02-01,0.23839297538249812
2017-03-01,0.23333063240154966
2017-04-01,0.22257295064211682
2017-05-01,0.21620930048226109
2017-06-01,0.1955060125343939
2017-07-01,0.18036927607953027
2017-08-01,0.18577411203713987
2017-09-01,0.18689784039331175
2017-10-01,0.1956157450687188
2017-11-01,0.19896950682599915
2017-12-01,0.18291377533196107
2018-01-01,0.16829894794345177
2018-02-01,0.16251009354046025
2018-03-01,0.1650945765645089
2018-04-01,0.1719037892807004
2018-05-01,0.17208142996949177
2018-06-01,0.1680473433750486
2018-07-01,0.166669129750448
2018-08-01,0.16077220412897358
2018-09-01,0.15395144875702843
2018-10-01,0.1500572696747223
2018-12-01,0.15188500945424335
2019-01-01,0.15937606613755906
2019-02-01,0.15994631000026574
2019-03-01,0.15637398818400783
2019-04-01,0.15569516703063824
2019-05-01,0.14802757366115904
2019-06-01,0.13409558962648127
2019-07-01,0.12740855624208108
2019-08-01,0.1089878446498306
2019-09-01,0.07678939082422402
2019-10-01,0.047146333726849995
2019-11-01,0.004241637450422619
2019-12-01,-0.050858533272955114
2020-01-01,-0.10845380938242824
2020-02-01,-0.15867389900208048
2020-03-01,-0.20558188285024756
2020-04-01,-0.24930240864696762
2020-05-01,-0.29018771273291016
2020-06-01,-0.32503329960664645
2020-07-01,-0.3590741397064381
2020-08-01,-0.3864359021885809
2020-09-01,-0.39008188420612905
2020-10-01,-0.3890108851598608
2020-11-01,-0.3750496183358326
2020-12-01,-0.33339630866170644
2021-01-01,-0.27139603103419413
2021-02-01,-0.20731473639962117
2021-03-01,-0.15078730287474565
2021-04-01,-0.1060665745846491
2021-05-01,-0.05755696148835523
2021-06-01,-0.008513608441573336
2021-07-01,0.04334199706972351
2021-08-01,0.11637471031583264
2021-09-01,0.18092311810322195
2021-10-01,0.2265820204454396
2021-11-01,0.2657985316745949
2021-12-01,0.28541713177973443
2022-01-01,0.27363407452691063
2022-02-01,0.25308288148630914
2022-03-01,0.242306020424022
2022-04-01,0.2349461696957379
2022-05-01,0.2287810061218076
2022-06-01,0.22748176086395172
2022-07-01,0.2231549494279017
2022-08-01,0.1940756015295708
2022-09-01,0.1514532059449521
2022-10-01,0.12616435766508083
2022-11-01,0.10349319241418797
2022-12-01,0.08172687412292992
2023-01-01,0.08324258140475392
2023-02-01,0.08605732517706272
2023-03-01,0.07816118027325825
2023-04-01,0.07222729907923083
2023-05-01,0.05896362389185908
2023-06-01,0.041052377302778886
2023-07-01,0.025766667942421325
2023-08-01,0.010077838448653807
2023-09-01,-0.007004668306556694
2023-10-01,-0.02188801721305644
2023-11-01,-0.042949065501347576
2023-12-01,-0.06753145227407249
2024-01-01,-0.09608629791777486
2024-02-01,-0.12429237749767898
2024-03-01,-0.13859543186172493
2024-04-01,-0.14382291770829586
2024-05-01,-0.14647815125559868
2024-06-01,-0.15207031089149492
2024-07-01,-0.1661203054256693
2024-08-01,-0.17138228422232987
2024-09-01,-0.16177225940060236
2024-10-01,-0.16912191161143605
2024-11-01,-0.16936419873908787
2024-12-01,-0.15464670836777117
2025-01-01,-0.14356592252083838
2025-02-01,-0.13078329526154744
2025-03-01,-0.13923743751010537
2025-04-01,-0.15797291849867295
2025-05-01,
2025-06-01,
2025-07-01,
2025-08-01,
2025-09-01,
2025-10-01,
